account_name,sector,supplier,value_estimate,total_spend,idox_penetration
SWALEC,Energy,UNKNOWN,,,0
"SWS Broadband (Shropshire, England)",Fibre,UNKNOWN,,,0
"Symmetris (Beverley, East Yorkshire, England)",Fibre,UNKNOWN,,,0
Syscomm,Fibre,UNKNOWN,,,0
"Talk Home (London, England)",Fibre,UNKNOWN,,,0
"Talkmobile (Newbury, Berkshire, England)",Fibre,UNKNOWN,,,0
TalkTalk,Fibre,UNKNOWN,,,0
TATA Communications,Fibre,UNKNOWN,,,0
TDS Southern Ltd.,Infrastructure,IDOX,,15699.41,8
"Technological (London, England)",Fibre,UNKNOWN,,,0
"Telcom (ClearFibre, WeFibre) (Manchester, England)",Fibre,UNKNOWN,,,0
"Tesco Mobile (Welwyn Garden City, Hertfordshire, England)",Fibre,UNKNOWN,,,0
Thames Water,Water,ESRI,750000.0,,0
"The 4th Utility (Cheshire, England)",Fibre,UNKNOWN,,,0
"ThinkingWISP (Norfolk, England)",Fibre,UNKNOWN,,,0
Thistle Wind Partners Limited,Renewables,IDOX,,8280.85,4
"Three (Glasgow, Scotland)",Fibre,UNKNOWN,,,0
Toob Ltd,Fibre,IDOX,,54176.72,10
TOTAL,Energy,UNKNOWN,,,0
Total Gas and Power ,Energy,UNKNOWN,,,0
"Total Web Solutions (Cheshire, England)",Fibre,UNKNOWN,,,0
"Tove Valley Broadband (Northamptonshire, England)",Fibre,UNKNOWN,,,0
Traffic Management Design Services Ltd,Infrastructure,IDOX,,8835.05,4
Transmission Capital,Energy,UNKNOWN,,,0
"Transmitair (Fife, Scotland)",Fibre,UNKNOWN,,,0
Transport for London (TfL),Infrastructure,UNKNOWN,,,0
Trojan Energy,Energy,UNKNOWN,,,0
"Trooli (East Peckham, Kent, England)",Fibre,UNKNOWN,,,0
Truespeed Communications Limited,Fibre,IDOX,,14369.0,5
Trustmarque Solutions Ltd,Water,IDOX,,1126337.48,158
"TxRx Communications (Hampshire, England)",Fibre,UNKNOWN,,,0
Tyler Hill Consulting Limited,Infrastructure,IDOX,,16744.0,8
"UK Fibre Networks (York, Yorkshire, England)",Fibre,UNKNOWN,,,0
UK Power Networks,Energy,UNKNOWN,,,0
UKPN Eastern Power Networks - OS Migration,Energy,OTHER,769428.0,,0
UKPN London Power Networks - OS Migration,Energy,OTHER,72688.0,,0
UKPN South Eastern Power Networks - OS Migration,Energy,OTHER,360808.0,,0
"Unchained ISP (Leeds, England)",Fibre,UNKNOWN,,,0
Uniper,Fibre,IDOX,,,0
United Utilities Water Limited,Energy,LANDMARK,520000.0,17120.0,3
Uno,Fibre,UNKNOWN,,,0
"uno (Sheffield, Yorkshire, England)",Fibre,UNKNOWN,,,0
"Upp (Peterborough, England)",Fibre,UNKNOWN,,,0
"Userve Internet (Shropshire, England)",Fibre,UNKNOWN,,,0
Utilita Energy,Energy,UNKNOWN,,,0
